,none,E2,E3,E4,I2
412,4.0,2.0,3.0,3.0,11.0
413,4.0,2.0,3.0,3.0,8.0
414,5.0,7.0,3.0,3.0,84.0
415,1.0,1.0,2.0,1.0,3.0
416,5.0,2.0,3.0,10.0,23.0
417,3.0,2.0,3.0,3.0,10.0
418,4.0,2.0,2.0,2.0,10.0
419,6.0,3.0,3.0,3.0,14.0
420,2.0,1.0,2.0,2.0,6.0
421,5.0,8.0,3.0,3.0,26.0
422,3.0,1.0,2.0,2.0,7.0
423,5.0,6.0,3.0,5.0,27.0
424,3.0,2.0,2.0,2.0,8.0
425,4.0,3.0,3.0,3.0,7.0
426,3.0,1.0,1.0,1.0,6.0
427,5.0,2.0,3.0,5.0,14.0
428,4.0,2.0,3.0,3.0,26.0
429,6.0,3.0,3.0,5.0,25.0
430,3.0,1.0,3.0,3.0,8.0
431,5.0,10.0,3.0,5.0,33.0
432,4.0,2.0,3.0,2.0,8.0
433,1.0,1.0,2.0,2.0,8.0
434,2.0,2.0,2.0,2.0,3.0
435,5.0,1.0,3.0,5.0,19.0
436,5.0,2.0,3.0,3.0,23.0
437,5.0,1.0,3.0,2.0,12.0
438,5.0,1.0,3.0,5.0,14.0
439,4.0,2.0,3.0,2.0,8.0
440,7.0,1.0,3.0,5.0,30.0
441,4.0,2.0,3.0,2.0,8.0
442,5.0,3.0,3.0,5.0,13.0
443,3.0,1.0,2.0,1.0,7.0
444,4.0,1.0,3.0,3.0,8.0
445,5.0,3.0,3.0,5.0,28.0
446,5.0,1.0,3.0,3.0,10.0
447,2.0,1.0,3.0,2.0,4.0
448,7.0,10.0,3.0,5.0,16.0
449,4.0,1.0,3.0,3.0,10.0
450,3.0,2.0,2.0,2.0,8.0
451,3.0,2.0,3.0,3.0,9.0
452,5.0,2.0,3.0,5.0,24.0
453,1.0,1.0,2.0,1.0,4.0
454,7.0,3.0,3.0,5.0,37.0
455,4.0,2.0,3.0,3.0,8.0
456,1.0,1.0,2.0,1.0,5.0
457,3.0,3.0,3.0,3.0,8.0
458,1.0,1.0,2.0,1.0,10.0
459,3.0,1.0,2.0,2.0,8.0
460,5.0,10.0,3.0,5.0,30.0
461,5.0,1.0,3.0,5.0,28.0
462,2.0,2.0,2.0,3.0,13.0
463,5.0,1.0,3.0,5.0,14.0
464,3.0,2.0,3.0,2.0,13.0
465,4.0,1.0,3.0,4.0,9.0
466,6.0,2.0,3.0,5.0,26.0
467,3.0,2.0,2.0,2.0,10.0
468,9.0,10.0,3.0,5.0,35.0
469,2.0,1.0,2.0,1.0,8.0
470,5.0,1.0,3.0,2.0,10.0
471,1.0,1.0,2.0,1.0,1.0
472,1.0,1.0,2.0,2.0,1.0
473,5.0,2.0,3.0,3.0,19.0
474,4.0,2.0,3.0,3.0,8.0
475,5.0,1.0,3.0,4.0,16.0
476,4.0,2.0,3.0,3.0,40.0
477,5.0,1.0,2.0,2.0,14.0
478,2.0,2.0,2.0,2.0,8.0
479,4.0,2.0,2.0,2.0,7.0
480,3.0,2.0,3.0,3.0,7.0
481,4.0,1.0,2.0,3.0,11.0
482,2.0,2.0,3.0,3.0,14.0
483,3.0,2.0,3.0,2.0,7.0
484,3.0,2.0,2.0,2.0,7.0
485,4.0,2.0,3.0,2.0,14.0
486,3.0,2.0,3.0,3.0,7.0
487,2.0,1.0,2.0,1.0,3.0
488,3.0,2.0,3.0,3.0,11.0
489,2.0,1.0,2.0,2.0,4.0
490,5.0,2.0,2.0,2.0,18.0
491,4.0,2.0,3.0,5.0,29.0
492,5.0,1.0,3.0,3.0,13.0
493,4.0,2.0,3.0,2.0,30.0
494,5.0,2.0,3.0,5.0,8.0
495,5.0,2.0,3.0,3.0,98.0
496,4.0,1.0,3.0,3.0,13.0
497,4.0,2.0,3.0,3.0,8.0
498,5.0,1.0,3.0,11.0,24.0
499,5.0,1.0,3.0,5.0,19.0
500,2.0,2.0,2.0,2.0,4.0
501,6.0,8.0,3.0,5.0,83.0
502,3.0,2.0,2.0,2.0,7.0
503,4.0,2.0,3.0,3.0,8.0
504,5.0,2.0,3.0,2.0,16.0
505,5.0,2.0,3.0,5.0,31.0
506,4.0,1.0,2.0,2.0,18.0
507,5.0,2.0,3.0,3.0,7.0
508,5.0,1.0,2.0,3.0,27.0
509,3.0,2.0,3.0,3.0,4.0
510,3.0,1.0,3.0,3.0,9.0
511,5.0,2.0,3.0,5.0,71.0
512,3.0,1.0,3.0,2.0,10.0
513,5.0,2.0,3.0,4.0,12.0
514,4.0,2.0,3.0,3.0,22.0
515,2.0,1.0,3.0,2.0,72.0
516,4.0,3.0,3.0,3.0,82.0
517,5.0,2.0,3.0,3.0,31.0
518,2.0,1.0,3.0,2.0,7.0
519,2.0,2.0,3.0,2.0,6.0
520,5.0,9.0,3.0,5.0,30.0
521,4.0,2.0,3.0,3.0,8.0
522,4.0,2.0,3.0,3.0,9.0
523,5.0,4.0,3.0,3.0,81.0
524,4.0,1.0,2.0,2.0,63.0
525,5.0,2.0,3.0,5.0,43.0
526,4.0,1.0,3.0,3.0,74.0
527,5.0,1.0,3.0,2.0,10.0
528,4.0,2.0,3.0,3.0,12.0
529,1.0,1.0,2.0,1.0,2.0
530,3.0,2.0,3.0,2.0,8.0
531,3.0,2.0,3.0,3.0,8.0
532,1.0,1.0,1.0,1.0,1.0
533,4.0,2.0,3.0,3.0,8.0
534,5.0,4.0,3.0,4.0,28.0
535,5.0,1.0,3.0,4.0,14.0
536,5.0,2.0,2.0,2.0,32.0
537,4.0,2.0,3.0,3.0,8.0
538,4.0,2.0,3.0,3.0,7.0
539,6.0,1.0,3.0,5.0,37.0
540,2.0,2.0,2.0,2.0,2.0
541,4.0,1.0,3.0,3.0,8.0
542,5.0,3.0,3.0,5.0,95.0
543,4.0,1.0,3.0,3.0,7.0
