,none,E1,E2,E3,E4,I2
125,149.0,1353.0,193.0,55.0,121.0,1347.0
126,96.0,72.0,83.0,47.0,43.0,145.0
127,60.0,36.0,54.0,25.0,27.0,104.0
128,103.0,74.0,96.0,42.0,49.0,139.0
129,114.0,120.0,129.0,57.0,64.0,1530.0
130,139.0,156.0,188.0,65.0,116.0,409.0
131,119.0,109.0,106.0,57.0,54.0,976.0
132,106.0,91.0,96.0,52.0,53.0,283.0
133,99.0,84.0,93.0,42.0,44.0,187.0
134,120.0,115.0,98.0,64.0,88.0,167.0
135,79.0,54.0,74.0,31.0,36.0,125.0
136,122.0,132.0,167.0,63.0,104.0,419.0
137,106.0,89.0,97.0,37.0,44.0,228.0
138,87.0,67.0,81.0,42.0,44.0,240.0
139,106.0,89.0,109.0,50.0,49.0,174.0
140,96.0,79.0,103.0,44.0,43.0,151.0
141,121.0,110.0,103.0,53.0,113.0,220.0
142,113.0,112.0,102.0,48.0,98.0,778.0
143,99.0,82.0,85.0,39.0,44.0,352.0
144,93.0,63.0,87.0,44.0,43.0,128.0
145,76.0,48.0,76.0,30.0,30.0,98.0
146,105.0,104.0,140.0,60.0,64.0,163.0
147,92.0,74.0,92.0,41.0,42.0,144.0
148,125.0,117.0,153.0,62.0,73.0,393.0
