,none,E1,E2,I1
399,3.0,2.0,1.0,3.0
400,3.0,2.0,1.0,2.0
401,2.0,0.0,0.0,2.0
402,2.0,1.0,1.0,2.0
403,3.0,2.0,1.0,2.0
404,3.0,2.0,1.0,3.0
405,3.0,2.0,1.0,3.0
406,3.0,1.0,1.0,3.0
407,3.0,3.0,2.0,3.0
408,3.0,2.0,1.0,3.0
409,3.0,2.0,1.0,2.0
410,3.0,3.0,1.0,3.0
411,2.0,0.0,0.0,2.0
412,3.0,1.0,1.0,2.0
413,4.0,2.0,3.0,7.0
414,2.0,1.0,0.0,2.0
415,5.0,2.0,2.0,5.0
416,3.0,2.0,1.0,3.0
417,2.0,2.0,1.0,2.0
418,3.0,2.0,1.0,3.0
419,5.0,2.0,1.0,7.0
420,3.0,2.0,1.0,4.0
421,3.0,2.0,1.0,4.0
422,1.0,1.0,0.0,2.0
423,2.0,1.0,0.0,2.0
424,3.0,2.0,1.0,3.0
425,2.0,1.0,0.0,2.0
426,3.0,3.0,2.0,3.0
427,3.0,2.0,1.0,3.0
428,3.0,2.0,1.0,3.0
429,2.0,0.0,0.0,2.0
430,2.0,1.0,0.0,2.0
431,3.0,2.0,1.0,3.0
432,2.0,2.0,1.0,3.0
433,3.0,2.0,1.0,3.0
434,3.0,2.0,2.0,3.0
435,6.0,2.0,1.0,5.0
436,3.0,2.0,1.0,4.0
437,4.0,2.0,1.0,4.0
438,4.0,2.0,2.0,4.0
439,2.0,0.0,0.0,2.0
440,2.0,1.0,0.0,2.0
441,2.0,2.0,1.0,2.0
442,3.0,2.0,1.0,3.0
443,3.0,2.0,1.0,2.0
444,3.0,2.0,1.0,3.0
445,4.0,2.0,1.0,4.0
446,2.0,0.0,0.0,2.0
447,2.0,1.0,0.0,2.0
448,5.0,2.0,2.0,6.0
449,2.0,1.0,1.0,2.0
450,5.0,2.0,2.0,5.0
451,4.0,2.0,2.0,4.0
452,4.0,2.0,2.0,5.0
453,3.0,1.0,1.0,3.0
454,2.0,0.0,0.0,2.0
455,4.0,2.0,1.0,4.0
456,3.0,2.0,2.0,2.0
457,3.0,2.0,1.0,3.0
458,4.0,1.0,1.0,4.0
459,2.0,1.0,0.0,2.0
460,3.0,1.0,1.0,3.0
461,2.0,1.0,1.0,2.0
462,4.0,2.0,2.0,4.0
463,4.0,2.0,1.0,3.0
464,3.0,2.0,1.0,3.0
465,2.0,1.0,1.0,2.0
466,0.0,1.0,0.0,0.0
467,4.0,2.0,1.0,4.0
468,3.0,2.0,1.0,2.0
469,2.0,1.0,0.0,2.0
470,3.0,2.0,1.0,2.0
471,2.0,1.0,0.0,2.0
472,3.0,2.0,1.0,2.0
473,3.0,2.0,1.0,3.0
474,2.0,0.0,0.0,2.0
475,3.0,2.0,1.0,3.0
476,3.0,2.0,2.0,3.0
477,2.0,0.0,0.0,3.0
478,2.0,1.0,1.0,3.0
479,2.0,2.0,1.0,2.0
480,2.0,0.0,0.0,2.0
481,2.0,1.0,0.0,2.0
482,3.0,2.0,1.0,2.0
483,3.0,2.0,1.0,3.0
484,3.0,2.0,1.0,3.0
485,3.0,2.0,1.0,4.0
486,2.0,1.0,0.0,2.0
487,3.0,2.0,1.0,4.0
488,2.0,2.0,1.0,2.0
489,2.0,2.0,1.0,2.0
490,5.0,3.0,1.0,5.0
491,2.0,2.0,0.0,2.0
492,3.0,1.0,1.0,3.0
493,3.0,2.0,1.0,3.0
494,3.0,3.0,2.0,3.0
495,3.0,2.0,1.0,2.0
496,3.0,2.0,1.0,2.0
497,2.0,1.0,0.0,2.0
498,3.0,2.0,1.0,2.0
499,3.0,3.0,2.0,4.0
500,4.0,2.0,1.0,2.0
501,4.0,2.0,2.0,5.0
502,3.0,2.0,1.0,3.0
503,3.0,1.0,1.0,3.0
504,2.0,3.0,1.0,4.0
505,2.0,2.0,0.0,2.0
506,4.0,2.0,2.0,4.0
507,3.0,1.0,1.0,3.0
508,5.0,2.0,2.0,6.0
509,4.0,1.0,1.0,3.0
510,4.0,2.0,1.0,3.0
511,4.0,2.0,2.0,3.0
512,2.0,1.0,1.0,2.0
513,2.0,1.0,0.0,2.0
514,4.0,2.0,1.0,5.0
515,3.0,2.0,1.0,3.0
516,3.0,2.0,1.0,4.0
517,2.0,0.0,0.0,2.0
518,2.0,0.0,0.0,2.0
519,2.0,0.0,0.0,2.0
520,2.0,0.0,1.0,2.0
521,4.0,2.0,1.0,5.0
522,2.0,1.0,0.0,2.0
523,2.0,1.0,0.0,2.0
524,5.0,2.0,2.0,7.0
525,3.0,2.0,1.0,3.0
526,2.0,2.0,1.0,2.0
527,3.0,2.0,1.0,3.0
528,5.0,2.0,1.0,4.0
529,3.0,2.0,1.0,2.0
530,3.0,2.0,1.0,4.0
531,3.0,2.0,1.0,5.0
532,3.0,3.0,1.0,2.0
533,3.0,2.0,1.0,4.0
534,2.0,0.0,0.0,2.0
535,3.0,2.0,1.0,2.0
536,2.0,2.0,1.0,2.0
537,4.0,2.0,1.0,4.0
538,2.0,1.0,1.0,2.0
539,4.0,2.0,1.0,3.0
540,4.0,2.0,1.0,3.0
541,1.0,1.0,0.0,2.0
542,3.0,2.0,1.0,2.0
543,3.0,2.0,1.0,4.0
544,2.0,0.0,0.0,2.0
545,2.0,1.0,1.0,2.0
546,2.0,2.0,1.0,2.0
547,4.0,2.0,2.0,4.0
548,3.0,1.0,1.0,2.0
549,4.0,3.0,1.0,5.0
550,2.0,1.0,0.0,2.0
551,3.0,2.0,1.0,3.0
552,3.0,1.0,1.0,2.0
553,2.0,1.0,0.0,3.0
554,2.0,2.0,1.0,2.0
555,3.0,2.0,1.0,4.0
556,2.0,1.0,0.0,2.0
557,3.0,2.0,1.0,4.0
558,2.0,1.0,0.0,2.0
559,3.0,2.0,1.0,3.0
560,3.0,2.0,1.0,2.0
561,2.0,2.0,1.0,3.0
562,4.0,2.0,1.0,3.0
563,4.0,2.0,1.0,6.0
564,5.0,2.0,2.0,7.0
565,3.0,2.0,1.0,2.0
566,3.0,2.0,1.0,2.0
567,3.0,1.0,1.0,2.0
568,3.0,2.0,1.0,4.0
569,3.0,1.0,1.0,3.0
570,2.0,1.0,0.0,2.0
571,3.0,2.0,1.0,3.0
572,4.0,1.0,1.0,6.0
573,2.0,1.0,1.0,3.0
574,3.0,2.0,1.0,3.0
575,3.0,2.0,1.0,3.0
