,pt_root_id,body_part_effector,body_part_sensory,cell_class,cell_function,cell_function_detailed,cell_sub_class,cell_type,fafb_783_cell_type,fafb_783_match_id,fanc_1116_cell_type,fanc_1116_match_id,flow,hemibrain_121_cell_type,hemibrain_121_match_id,hemilineage,manc_121_cell_type,manc_121_match_id,nerve,neuropeptide_verified,neurotransmitter_predicted,neurotransmitter_verified,other_names,peripheral_target_type,region,side,super_class,pt_position,surf_area_um2
4479,720575941642906529,,,descending_neuron,,,,DNge124,DNge124,id:720575940626889491,,,intrinsic,,,putative_primary,DNxl021,id:16859,,,acetylcholine,,,,neck_connective,right,descending,[91728 57856  2094],14641.00232
4480,720575941642936696,,,,,,ventral_nerve_cord_bilateral_interconnecting,vPR6,,,,,intrinsic,,,12A,,,,,acetylcholine,acetylcholine,,,ventral_nerve_cord,right,ventral_nerve_cord_intrinsic,[118416 166368   2907],4399.106112
4481,720575941642966629,,,descending_neuron,,,,DNg07,DNg07,id:720575940621339713,,,intrinsic,,,LB7,DNg07,id:35897,,,gaba,,,,neck_connective,right,descending,[101472  43776    498],5081.31912
4482,720575941643030945,,,descending_neuron,,,,DNg92_b,DNg92_b,id:720575940626187014,,,intrinsic,,,LB12,DNg92,id:32656,,,acetylcholine,,,,neck_connective,left,descending,[154320  54400   1901],3410.97616
4483,720575941643053394,,,single_leg_neuromere,,,ventral_nerve_cord_bilateral_interconnecting,IN01A025,,,,,intrinsic,,,01A,IN01A025,id:28526,,,acetylcholine,acetylcholine,,,ventral_nerve_cord,right,ventral_nerve_cord_intrinsic,[131696 145712   2982],8523.223984
4484,720575941643086162,,,single_leg_neuromere,,,ventral_nerve_cord_ipsilateral_restricted,IN19A088,,,,,intrinsic,,,19A,IN19A088,id:21052,,,gaba,gaba,,,ventral_nerve_cord,left,ventral_nerve_cord_intrinsic,[150352 153264   4941],2807.547744
4485,720575941643096146,,front_leg,bristle_neuron,tactile,,front_leg_bristle_neuron,SNta42,,,,id:1102,afferent,,,,SNta42,id:61746,left_prothoracic_leg_nerve,,acetylcholine,,,bristle,ventral_nerve_cord,left,sensory,,
4486,720575941643098962,,front_leg,bristle_neuron,tactile,,front_leg_bristle_neuron,SNta35,,,,,afferent,,,,SNta35,id:100336,left_prothoracic_leg_nerve,,gaba,,,bristle,ventral_nerve_cord,left,sensory,,
4487,720575941643180901,front_leg,,leg_motor_neuron,leg_motor,flex_femur_tibia_joint,front_leg_motor_neuron,accessory_tibia_flexor_A,,,,,efferent,,,15B,Acc. ti flexor MN,id:18412,left_prothoracic_leg_nerve,,,glutamate,,accessory_tibia_flexor_muscle,ventral_nerve_cord,left,motor,[147232 138896   2724],5291.368288
4488,720575941643446629,,,,,,ventral_nerve_cord_bilateral_interconnecting,IN06A014,,,,,intrinsic,,,06A,IN06A014,id:13136,,,gaba,gaba,,,ventral_nerve_cord,right,ventral_nerve_cord_intrinsic,[109232 227584   5126],6949.347488
4489,720575941643468133,,,ventral_nerve_cord_serially_convergent,,,ventral_nerve_cord_bilateral_interconnecting,IN07B007,,,,,intrinsic,,,07B,IN07B007,id:10593,,,glutamate,,,,ventral_nerve_cord,left,ventral_nerve_cord_intrinsic,[138448 140944   2277],15930.182512
4490,720575941643468645,,,,,,ventral_nerve_cord_bilateral_interconnecting,IN07B001,,,,,intrinsic,,,07B,IN07B001,id:10087,,,acetylcholine,acetylcholine,,,ventral_nerve_cord,left,ventral_nerve_cord_intrinsic,[140992 176880   3324],22334.979216
4491,720575941643474277,,,sequential_leg_neuromeres,,,ventral_nerve_cord_contralateral_interconnecting,IN01A010,,,,,intrinsic,,,01A,IN01A010,id:11165,,,acetylcholine,acetylcholine,,,ventral_nerve_cord,right,ventral_nerve_cord_intrinsic,[128480 145360   3042],13799.49304
4492,720575941643474789,,,single_leg_neuromere,,,ventral_nerve_cord_ipsilateral_restricted,IN19A002,,,,,intrinsic,,,19A,IN19A002,id:10503,,,gaba,gaba,,,ventral_nerve_cord,right,ventral_nerve_cord_intrinsic,[110144 152128   4534],31305.19792
4493,720575941643855480,,front_leg,taste_peg_neuron,gustatory_tactile,,front_leg_taste_peg_neuron,SNch10,,,,,afferent,,,,SNch10,id:147017,left_ventral_prothoracic_nerve,,acetylcholine,,,taste_peg,ventral_nerve_cord,left,sensory,,
