w_idx,pt_root_id,body_part_effector,body_part_sensory,cell_class,cell_function,cell_function_detailed,cell_sub_class,cell_type,fafb_783_cell_type,fafb_783_match_id,fanc_1116_cell_type,fanc_1116_match_id,flow,hemibrain_121_cell_type,hemibrain_121_match_id,hemilineage,manc_121_cell_type,manc_121_match_id,nerve,neuropeptide_verified,neurotransmitter_predicted,neurotransmitter_verified,other_names,peripheral_target_type,region,side,super_class
2709,720575941543684357,,,descending_neuron,,,,DNg94,DNg94,id:720575940623626986,,,intrinsic,,,,DNg94,id:22372,,,acetylcholine,,,,neck_connective,left,descending
2710,720575941543739653,,,single_leg_neuromere,,,ventral_nerve_cord_ipsilateral_interconnecting,IN09A064,,,,,intrinsic,,,09A,IN09A064,id:22953,,,gaba,gaba,,,ventral_nerve_cord,left,ventral_nerve_cord_intrinsic
2711,720575941543751173,,,single_leg_neuromere,,,ventral_nerve_cord_ipsilateral_restricted,IN16B042,,,,,intrinsic,,,16B,IN16B042,id:158008,,,glutamate,glutamate,,,ventral_nerve_cord,right,ventral_nerve_cord_intrinsic
2712,720575941543766533,,front_leg,bristle_neuron,tactile,,front_leg_bristle_neuron,SNta34,,,,,afferent,,,,SNta34,id:51045,right_prothoracic_leg_nerve,,acetylcholine,,,bristle,ventral_nerve_cord,right,sensory
2713,720575941543812869,,,,,,ventral_nerve_cord_ipsilateral_restricted,IN20A.22A038,,,,,intrinsic,,,20A.22A,IN20A.22A038,id:24925,,,acetylcholine,acetylcholine,,,ventral_nerve_cord,right,ventral_nerve_cord_intrinsic
2714,720575941543962629,,,descending_neuron,,,,DNg05_b,DNg05_b,id:720575940625550398,,,intrinsic,,,LB12,DNg05,id:28700,,,acetylcholine,,,,neck_connective,right,descending
2715,720575941544212412,,,,,,ventral_nerve_cord_ipsilateral_restricted,IN08A046,,,,,intrinsic,,,08A,IN08A046,id:154304,,,glutamate,glutamate,,,ventral_nerve_cord,left,ventral_nerve_cord_intrinsic
2716,720575941544272489,,,ventral_nerve_cord_centripetal,,,ventral_nerve_cord_bilateral_interconnecting,IN19A067,,,,,intrinsic,,,19A,,,,,gaba,gaba,,,ventral_nerve_cord,right,ventral_nerve_cord_intrinsic
2717,720575941544490676,,,single_leg_neuromere,,,ventral_nerve_cord_bilateral_interconnecting,IN06B033,,,,,intrinsic,,,06B,IN06B033,id:12690,,,gaba,gaba,,,ventral_nerve_cord,right,ventral_nerve_cord_intrinsic
2718,720575941544516276,,,single_leg_neuromere,proprioception,,ventral_nerve_cord_contralateral_restricted,IN13B076,,,,,intrinsic,,,13B,,,,,gaba,gaba,,,ventral_nerve_cord,right,ventral_nerve_cord_intrinsic
2719,720575941544541364,,,ascending_neuron,,,,AN08B112,,,,,intrinsic,,,,AN08B112,id:29018,,,acetylcholine,,,,neck_connective,right,ascending
2720,720575941544546996,,,,,,ventral_nerve_cord_ipsilateral_restricted,IN08A034,,,,,intrinsic,,,08A,,,,,glutamate,glutamate,,,ventral_nerve_cord,right,ventral_nerve_cord_intrinsic
2721,720575941544636084,,,,,,ventral_nerve_cord_ipsilateral_restricted,IN19A120,,,,,intrinsic,,,19A,IN19A120,id:48724,,,gaba,gaba,,,ventral_nerve_cord,right,ventral_nerve_cord_intrinsic
2722,720575941544661172,,,single_leg_neuromere,,,ventral_nerve_cord_contralateral_restricted,IN13B017,,,,,intrinsic,,,13B,IN13B017,id:14113,,,gaba,gaba,,,ventral_nerve_cord,left,ventral_nerve_cord_intrinsic
2723,720575941544701957,,front_leg,chordotonal_organ_neuron,proprioception,direction,front_leg_hook_chordotonal_organ_neuron,SNpp41,,,,,afferent,,,,SNpp41,id:206048,right_prothoracic_leg_nerve,,gaba,acetylcholine,hook,chordotonal_organ,ventral_nerve_cord,right,sensory
2724,720575941544744965,,,sequential_leg_neuromeres,,,ventral_nerve_cord_ipsilateral_interconnecting,IN09A009,,,,,intrinsic,,,09A,IN09A009,id:11590,,,gaba,gaba,,,ventral_nerve_cord,right,ventral_nerve_cord_intrinsic
2725,720575941544751877,,front_leg,chordotonal_organ_neuron,proprioception,position,front_leg_claw_chordotonal_organ_neuron,SNpp50,,,,,afferent,,,,SNpp50,id:163745,left_prothoracic_leg_nerve,,gaba,acetylcholine,claw,chordotonal_organ,ventral_nerve_cord,left,sensory
2726,720575941544780037,,,single_leg_neuromere,,,ventral_nerve_cord_ipsilateral_restricted,IN03A019,,,,,intrinsic,,,03A,IN03A019,id:14091,,,acetylcholine,acetylcholine,,,ventral_nerve_cord,right,ventral_nerve_cord_intrinsic
2727,720575941544914793,,,,,,ventral_nerve_cord_ipsilateral_restricted,IN17A020,,,,,intrinsic,,,17A,,,,,acetylcholine,acetylcholine,,,ventral_nerve_cord,right,ventral_nerve_cord_intrinsic
2728,720575941544954556,,,single_leg_neuromere,,,ventral_nerve_cord_ipsilateral_restricted,IN16B036,,,,,intrinsic,,,16B,IN16B036,id:13905,,,glutamate,glutamate,,,ventral_nerve_cord,left,ventral_nerve_cord_intrinsic
2729,720575941544977596,,,single_leg_neuromere,,,ventral_nerve_cord_contralateral_restricted,IN14A024,,,,,intrinsic,,,14A,IN14A024,id:19289,,,glutamate,,,,ventral_nerve_cord,right,ventral_nerve_cord_intrinsic
2730,720575941545033916,,,descending_neuron,,,,DNge071,DNge071,id:720575940611765201,,,intrinsic,,,LB6,DNnt011,id:34390,,,gaba,,,,neck_connective,right,descending
2731,720575941545080252,,,single_leg_neuromere,,,ventral_nerve_cord_ipsilateral_restricted,IN17A044,,,,,intrinsic,,,17A,IN17A044,id:15251,,,gaba,acetylcholine,,,ventral_nerve_cord,left,ventral_nerve_cord_intrinsic
2732,720575941545086088,,,ascending_neuron,,,,AN08B106,,,,,intrinsic,,,08B,AN08B106,id:25262,,,acetylcholine,acetylcholine,,,neck_connective,left,ascending
2733,720575941545120361,,,descending_neuron,,,,DNg12_e,DNg12_e,id:720575940627814522,,,intrinsic,,,MX12,DNfl030,id:23953,,,acetylcholine,,MX12_L_22,,neck_connective,left,descending
