,none,E1,E2,E4,E5,I2
711,11.0,9.0,9.0,9.0,4.0,19.0
712,8.0,7.0,6.0,6.0,6.0,17.0
713,11.0,10.0,11.0,11.0,6.0,19.0
714,11.0,10.0,9.0,9.0,6.0,20.0
715,12.0,10.0,11.0,11.0,6.0,18.0
716,11.0,10.0,9.0,9.0,6.0,18.0
717,13.0,10.0,11.0,11.0,6.0,22.0
718,11.0,10.0,11.0,11.0,5.0,20.0
719,11.0,11.0,11.0,11.0,5.0,21.0
720,11.0,10.0,11.0,11.0,5.0,18.0
721,10.0,10.0,10.0,10.0,5.0,19.0
722,10.0,10.0,9.0,9.0,5.0,20.0
723,12.0,10.0,10.0,10.0,7.0,19.0
724,11.0,10.0,10.0,10.0,5.0,18.0
725,13.0,10.0,11.0,11.0,6.0,20.0
726,11.0,10.0,10.0,10.0,5.0,18.0
727,11.0,9.0,11.0,11.0,6.0,19.0
728,12.0,10.0,12.0,12.0,7.0,22.0
729,10.0,10.0,10.0,10.0,5.0,19.0
730,10.0,9.0,9.0,9.0,6.0,20.0
731,11.0,10.0,10.0,10.0,6.0,20.0
732,12.0,9.0,10.0,10.0,5.0,18.0
733,10.0,8.0,9.0,9.0,4.0,19.0
734,10.0,9.0,9.0,9.0,5.0,19.0
735,11.0,10.0,11.0,11.0,5.0,21.0
736,10.0,10.0,10.0,10.0,5.0,19.0
737,10.0,8.0,9.0,9.0,3.0,18.0
738,11.0,10.0,10.0,10.0,5.0,18.0
739,11.0,11.0,11.0,11.0,5.0,20.0
740,13.0,10.0,11.0,11.0,6.0,19.0
741,10.0,10.0,10.0,10.0,5.0,19.0
742,10.0,7.0,9.0,9.0,5.0,18.0
743,12.0,10.0,11.0,11.0,6.0,21.0
744,12.0,11.0,12.0,12.0,4.0,18.0
745,12.0,9.0,10.0,10.0,5.0,19.0
746,11.0,10.0,11.0,11.0,5.0,20.0
747,14.0,11.0,13.0,13.0,7.0,22.0
748,11.0,9.0,10.0,10.0,4.0,19.0
749,10.0,10.0,10.0,10.0,5.0,19.0
750,10.0,10.0,10.0,10.0,5.0,19.0
751,12.0,10.0,12.0,12.0,6.0,20.0
752,12.0,8.0,10.0,10.0,4.0,20.0
753,12.0,9.0,11.0,11.0,5.0,23.0
754,10.0,9.0,9.0,9.0,5.0,19.0
755,11.0,9.0,10.0,10.0,6.0,20.0
756,13.0,10.0,11.0,11.0,6.0,20.0
757,11.0,10.0,10.0,10.0,5.0,19.0
758,11.0,10.0,10.0,10.0,5.0,18.0
759,12.0,10.0,10.0,10.0,5.0,21.0
760,10.0,10.0,10.0,10.0,5.0,20.0
761,12.0,10.0,11.0,11.0,6.0,18.0
762,10.0,10.0,10.0,10.0,5.0,19.0
763,11.0,10.0,10.0,10.0,5.0,19.0
764,11.0,11.0,12.0,12.0,4.0,20.0
765,11.0,9.0,9.0,9.0,4.0,19.0
766,10.0,8.0,8.0,8.0,4.0,16.0
767,12.0,10.0,10.0,10.0,5.0,20.0
768,11.0,9.0,10.0,10.0,5.0,20.0
769,11.0,10.0,11.0,11.0,5.0,18.0
770,11.0,10.0,10.0,10.0,5.0,21.0
771,12.0,10.0,11.0,11.0,5.0,19.0
772,10.0,8.0,9.0,9.0,6.0,18.0
773,12.0,10.0,10.0,10.0,6.0,21.0
774,10.0,10.0,10.0,10.0,5.0,19.0
775,10.0,10.0,10.0,10.0,5.0,19.0
776,11.0,9.0,9.0,9.0,6.0,22.0
777,10.0,10.0,10.0,10.0,5.0,19.0
778,10.0,10.0,10.0,10.0,6.0,20.0
779,10.0,10.0,11.0,11.0,6.0,18.0
780,11.0,9.0,9.0,9.0,5.0,19.0
781,10.0,9.0,9.0,9.0,5.0,19.0
782,11.0,10.0,11.0,11.0,6.0,19.0
783,13.0,10.0,11.0,11.0,6.0,21.0
784,11.0,9.0,9.0,9.0,6.0,19.0
785,9.0,7.0,8.0,8.0,3.0,19.0
786,10.0,10.0,11.0,11.0,5.0,18.0
787,14.0,11.0,12.0,12.0,6.0,20.0
788,11.0,9.0,9.0,9.0,5.0,19.0
789,10.0,10.0,10.0,10.0,5.0,19.0
790,10.0,10.0,10.0,10.0,6.0,20.0
791,11.0,10.0,9.0,9.0,6.0,20.0
792,10.0,9.0,9.0,9.0,4.0,19.0
793,12.0,10.0,12.0,12.0,4.0,20.0
794,14.0,12.0,13.0,13.0,6.0,24.0
795,11.0,10.0,11.0,11.0,5.0,21.0
796,11.0,10.0,10.0,10.0,6.0,20.0
797,9.0,8.0,9.0,9.0,4.0,18.0
798,11.0,9.0,10.0,10.0,5.0,18.0
799,11.0,10.0,11.0,11.0,5.0,18.0
800,12.0,11.0,13.0,13.0,5.0,20.0
801,11.0,10.0,10.0,10.0,6.0,19.0
802,11.0,9.0,9.0,9.0,5.0,19.0
803,12.0,9.0,11.0,11.0,5.0,19.0
804,12.0,10.0,10.0,10.0,5.0,19.0
805,10.0,9.0,9.0,9.0,5.0,18.0
806,10.0,8.0,9.0,9.0,5.0,19.0
807,14.0,11.0,12.0,12.0,6.0,21.0
808,11.0,10.0,12.0,12.0,6.0,20.0
809,9.0,9.0,9.0,9.0,5.0,18.0
810,11.0,10.0,12.0,12.0,4.0,20.0
811,11.0,10.0,10.0,10.0,4.0,19.0
812,11.0,10.0,11.0,11.0,6.0,20.0
813,11.0,9.0,10.0,10.0,5.0,19.0
814,10.0,9.0,9.0,9.0,6.0,18.0
815,10.0,9.0,9.0,9.0,5.0,19.0
816,11.0,9.0,11.0,11.0,4.0,18.0
817,10.0,10.0,10.0,10.0,5.0,19.0
818,10.0,10.0,9.0,9.0,5.0,19.0
819,11.0,10.0,10.0,10.0,6.0,18.0
820,11.0,9.0,9.0,9.0,5.0,19.0
821,12.0,10.0,11.0,11.0,7.0,19.0
822,11.0,10.0,11.0,11.0,5.0,18.0
823,12.0,10.0,10.0,10.0,8.0,18.0
824,10.0,9.0,9.0,9.0,4.0,18.0
825,11.0,10.0,10.0,10.0,5.0,19.0
826,11.0,10.0,12.0,12.0,5.0,19.0
827,11.0,9.0,9.0,9.0,6.0,19.0
828,10.0,10.0,9.0,9.0,6.0,20.0
829,11.0,10.0,11.0,11.0,6.0,21.0
830,11.0,10.0,10.0,10.0,5.0,20.0
831,11.0,9.0,9.0,9.0,5.0,19.0
832,10.0,9.0,9.0,9.0,5.0,18.0
833,12.0,10.0,10.0,10.0,8.0,19.0
834,11.0,11.0,11.0,11.0,5.0,20.0
835,11.0,10.0,10.0,10.0,5.0,20.0
836,13.0,11.0,11.0,11.0,4.0,21.0
837,10.0,10.0,10.0,10.0,5.0,19.0
838,10.0,10.0,10.0,10.0,5.0,19.0
839,11.0,10.0,10.0,10.0,5.0,19.0
840,11.0,9.0,9.0,9.0,5.0,20.0
841,12.0,10.0,11.0,11.0,5.0,20.0
842,10.0,10.0,10.0,10.0,4.0,18.0
843,12.0,11.0,11.0,11.0,5.0,19.0
844,12.0,10.0,11.0,11.0,6.0,19.0
845,10.0,8.0,9.0,9.0,5.0,19.0
846,10.0,8.0,8.0,8.0,5.0,18.0
847,10.0,10.0,10.0,10.0,6.0,18.0
848,11.0,10.0,11.0,11.0,5.0,18.0
849,12.0,10.0,11.0,11.0,6.0,21.0
850,10.0,8.0,9.0,9.0,4.0,19.0
851,12.0,10.0,11.0,11.0,8.0,19.0
852,13.0,11.0,11.0,11.0,6.0,22.0
853,11.0,10.0,11.0,11.0,5.0,21.0
854,10.0,10.0,10.0,10.0,5.0,18.0
855,11.0,10.0,11.0,11.0,5.0,20.0
856,11.0,9.0,10.0,10.0,5.0,19.0
857,11.0,10.0,10.0,10.0,5.0,21.0
858,12.0,11.0,12.0,12.0,5.0,19.0
859,11.0,10.0,10.0,10.0,5.0,18.0
860,10.0,10.0,10.0,10.0,5.0,19.0
861,11.0,10.0,10.0,10.0,6.0,18.0
862,11.0,9.0,9.0,9.0,5.0,18.0
863,9.0,8.0,9.0,9.0,6.0,19.0
864,13.0,10.0,11.0,11.0,6.0,21.0
865,11.0,9.0,11.0,11.0,5.0,19.0
866,11.0,10.0,10.0,10.0,5.0,20.0
867,13.0,10.0,12.0,12.0,6.0,20.0
868,10.0,9.0,9.0,9.0,5.0,18.0
869,10.0,8.0,9.0,9.0,4.0,17.0
870,10.0,10.0,10.0,10.0,5.0,20.0
871,11.0,11.0,11.0,11.0,5.0,20.0
872,12.0,10.0,11.0,11.0,6.0,21.0
873,12.0,10.0,11.0,11.0,4.0,20.0
874,12.0,10.0,12.0,12.0,6.0,19.0
875,10.0,10.0,10.0,10.0,6.0,18.0
876,12.0,10.0,12.0,12.0,6.0,20.0
877,10.0,9.0,9.0,9.0,5.0,18.0
878,10.0,9.0,10.0,10.0,4.0,19.0
879,12.0,10.0,11.0,11.0,5.0,18.0
880,12.0,10.0,10.0,10.0,5.0,21.0
881,11.0,9.0,9.0,9.0,5.0,19.0
882,13.0,11.0,11.0,11.0,5.0,19.0
883,11.0,10.0,10.0,10.0,6.0,18.0
884,11.0,10.0,12.0,12.0,5.0,20.0
885,11.0,10.0,11.0,11.0,5.0,19.0
886,10.0,9.0,9.0,9.0,5.0,18.0
887,11.0,10.0,10.0,10.0,6.0,19.0
888,11.0,10.0,9.0,9.0,6.0,20.0
889,11.0,10.0,11.0,11.0,5.0,19.0
890,11.0,10.0,9.0,9.0,7.0,20.0
891,12.0,11.0,12.0,12.0,6.0,21.0
892,10.0,10.0,10.0,10.0,5.0,18.0
893,12.0,10.0,11.0,11.0,5.0,21.0
894,11.0,10.0,11.0,11.0,5.0,20.0
895,11.0,10.0,10.0,10.0,5.0,18.0
896,10.0,10.0,10.0,10.0,5.0,19.0
897,10.0,9.0,9.0,9.0,6.0,20.0
898,11.0,9.0,10.0,10.0,4.0,20.0
899,11.0,10.0,10.0,10.0,5.0,22.0
900,11.0,10.0,12.0,12.0,5.0,19.0
901,9.0,10.0,9.0,9.0,6.0,19.0
902,11.0,10.0,12.0,12.0,4.0,20.0
903,11.0,10.0,10.0,10.0,5.0,19.0
904,11.0,9.0,10.0,10.0,4.0,18.0
905,11.0,10.0,10.0,10.0,6.0,23.0
906,11.0,10.0,10.0,10.0,5.0,18.0
907,10.0,10.0,10.0,10.0,5.0,19.0
908,12.0,10.0,10.0,10.0,6.0,19.0
909,11.0,9.0,9.0,9.0,5.0,21.0
910,13.0,10.0,11.0,11.0,5.0,19.0
911,10.0,8.0,9.0,9.0,4.0,19.0
912,12.0,10.0,12.0,12.0,7.0,21.0
913,10.0,9.0,9.0,9.0,5.0,19.0
914,12.0,10.0,10.0,10.0,6.0,18.0
915,11.0,10.0,10.0,10.0,5.0,19.0
916,10.0,10.0,10.0,10.0,7.0,18.0
917,11.0,9.0,9.0,9.0,5.0,18.0
918,10.0,10.0,10.0,10.0,6.0,19.0
919,13.0,10.0,13.0,13.0,8.0,22.0
920,12.0,11.0,10.0,10.0,6.0,20.0
921,11.0,10.0,11.0,11.0,6.0,19.0
922,11.0,10.0,10.0,10.0,6.0,20.0
923,11.0,9.0,10.0,10.0,5.0,20.0
924,11.0,10.0,11.0,11.0,6.0,20.0
925,12.0,10.0,9.0,9.0,5.0,19.0
926,12.0,10.0,11.0,11.0,6.0,20.0
