,none,E1,E2,I2
533,8.0,5.0,1.0,14.0
534,9.0,4.0,3.0,14.0
535,10.0,3.0,1.0,12.0
536,8.0,6.0,3.0,14.0
537,10.0,3.0,1.0,11.0
538,6.0,1.0,1.0,13.0
539,9.0,4.0,3.0,15.0
540,9.0,2.0,1.0,11.0
541,7.0,1.0,1.0,9.0
542,7.0,7.0,3.0,22.0
543,9.0,2.0,1.0,14.0
544,7.0,6.0,3.0,14.0
545,9.0,6.0,1.0,14.0
546,11.0,6.0,3.0,15.0
547,8.0,11.0,5.0,22.0
548,8.0,5.0,3.0,15.0
549,10.0,9.0,5.0,25.0
550,10.0,3.0,1.0,13.0
551,8.0,3.0,1.0,13.0
552,12.0,6.0,3.0,16.0
553,8.0,3.0,1.0,13.0
554,7.0,2.0,1.0,12.0
555,9.0,7.0,2.0,13.0
556,8.0,7.0,3.0,16.0
557,8.0,9.0,11.0,24.0
558,11.0,4.0,2.0,14.0
559,7.0,5.0,1.0,13.0
560,11.0,4.0,1.0,16.0
561,9.0,6.0,3.0,16.0
562,10.0,5.0,1.0,11.0
563,12.0,3.0,2.0,15.0
564,10.0,5.0,3.0,19.0
565,8.0,2.0,1.0,12.0
566,7.0,6.0,1.0,15.0
567,11.0,4.0,2.0,15.0
568,7.0,2.0,1.0,14.0
569,9.0,5.0,2.0,14.0
570,9.0,3.0,3.0,13.0
571,9.0,4.0,3.0,14.0
572,10.0,3.0,1.0,11.0
573,6.0,2.0,1.0,14.0
574,8.0,9.0,4.0,16.0
575,8.0,6.0,2.0,13.0
576,7.0,7.0,2.0,14.0
577,10.0,4.0,2.0,14.0
578,8.0,4.0,4.0,20.0
579,10.0,3.0,1.0,12.0
580,8.0,2.0,1.0,12.0
581,8.0,4.0,1.0,14.0
582,8.0,4.0,1.0,11.0
583,10.0,3.0,1.0,14.0
584,7.0,2.0,1.0,14.0
585,7.0,4.0,1.0,14.0
586,7.0,7.0,2.0,16.0
587,8.0,15.0,6.0,23.0
588,8.0,4.0,3.0,14.0
589,8.0,9.0,1.0,13.0
590,9.0,4.0,2.0,16.0
591,9.0,3.0,1.0,14.0
592,7.0,6.0,4.0,17.0
593,10.0,4.0,1.0,13.0
594,10.0,9.0,3.0,23.0
595,8.0,2.0,1.0,12.0
596,8.0,1.0,1.0,12.0
597,8.0,3.0,1.0,11.0
598,7.0,4.0,1.0,10.0
599,8.0,3.0,1.0,12.0
600,9.0,6.0,4.0,17.0
601,7.0,4.0,1.0,14.0
602,8.0,4.0,2.0,13.0
603,7.0,2.0,1.0,13.0
604,8.0,6.0,6.0,21.0
605,9.0,2.0,1.0,12.0
606,7.0,3.0,1.0,10.0
607,7.0,4.0,1.0,11.0
608,7.0,4.0,2.0,14.0
609,8.0,1.0,1.0,11.0
610,7.0,3.0,1.0,11.0
611,9.0,2.0,1.0,11.0
612,7.0,1.0,1.0,14.0
613,8.0,3.0,1.0,11.0
614,7.0,6.0,2.0,13.0
615,7.0,6.0,4.0,18.0
616,7.0,5.0,1.0,12.0
617,8.0,3.0,2.0,12.0
618,7.0,3.0,1.0,12.0
