,MANC,FANC,mCNS,BANC
454,7.0,11.0,18.0,4.0
455,4.0,10.0,17.0,4.0
456,1.0,11.0,20.0,4.0
457,3.0,12.0,17.0,4.0
458,1.0,12.0,22.0,4.0
459,3.0,10.0,20.0,3.0
460,5.0,10.0,18.0,8.0
461,5.0,11.0,17.0,6.0
462,2.0,10.0,17.0,5.0
463,5.0,11.0,15.0,4.0
464,3.0,10.0,18.0,6.0
465,4.0,11.0,15.0,4.0
466,6.0,10.0,17.0,3.0
467,3.0,12.0,18.0,6.0
468,9.0,11.0,22.0,3.0
469,2.0,10.0,16.0,4.0
470,5.0,12.0,16.0,5.0
471,1.0,11.0,16.0,6.0
472,1.0,9.0,19.0,4.0
473,5.0,11.0,17.0,3.0
474,4.0,11.0,17.0,5.0
475,5.0,10.0,13.0,4.0
476,4.0,10.0,17.0,3.0
477,5.0,11.0,16.0,3.0
478,2.0,12.0,13.0,5.0
479,4.0,9.0,17.0,6.0
480,3.0,11.0,16.0,4.0
481,4.0,11.0,16.0,7.0
482,2.0,11.0,15.0,5.0
483,3.0,10.0,15.0,5.0
484,3.0,7.0,17.0,3.0
485,4.0,12.0,18.0,4.0
486,3.0,12.0,16.0,4.0
487,2.0,11.0,15.0,6.0
488,3.0,10.0,17.0,5.0
489,2.0,10.0,16.0,3.0
490,5.0,10.0,15.0,4.0
491,4.0,10.0,18.0,3.0
492,5.0,11.0,15.0,5.0
493,4.0,11.0,19.0,5.0
494,5.0,10.0,19.0,5.0
495,5.0,12.0,16.0,5.0
496,4.0,11.0,16.0,5.0
497,4.0,12.0,16.0,4.0
498,5.0,12.0,15.0,4.0
499,5.0,11.0,18.0,5.0
500,2.0,10.0,14.0,5.0
501,6.0,12.0,16.0,5.0
502,3.0,10.0,19.0,5.0
503,4.0,11.0,20.0,4.0
504,5.0,11.0,18.0,5.0
505,5.0,11.0,15.0,4.0
506,4.0,11.0,16.0,7.0
507,5.0,10.0,19.0,3.0
508,5.0,13.0,15.0,7.0
509,3.0,12.0,15.0,4.0
510,3.0,12.0,17.0,7.0
511,5.0,7.0,21.0,5.0
512,3.0,11.0,14.0,3.0
513,5.0,12.0,15.0,3.0
514,4.0,12.0,18.0,3.0
515,2.0,11.0,17.0,3.0
516,4.0,12.0,15.0,3.0
517,5.0,11.0,16.0,4.0
518,2.0,12.0,18.0,7.0
519,2.0,11.0,15.0,4.0
520,5.0,11.0,18.0,4.0
521,4.0,11.0,19.0,4.0
522,4.0,11.0,17.0,6.0
523,5.0,10.0,15.0,4.0
524,4.0,11.0,19.0,4.0
525,5.0,11.0,17.0,7.0
526,4.0,12.0,13.0,4.0
527,5.0,10.0,16.0,4.0
528,4.0,12.0,18.0,4.0
529,1.0,11.0,18.0,4.0
530,3.0,10.0,15.0,5.0
531,3.0,10.0,17.0,3.0
532,1.0,13.0,16.0,4.0
533,4.0,11.0,19.0,6.0
534,5.0,11.0,18.0,5.0
535,5.0,10.0,18.0,6.0
536,5.0,10.0,18.0,4.0
537,4.0,11.0,16.0,6.0
538,4.0,11.0,17.0,7.0
